["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["purportless","Without purport or meaning."]
["carbunculation","The blasting of the young buds of trees or plants, by excessive heat or caold. Harris."]
["spondyle","A joint of the backbone; a vertebra."]
["tribromphenol","A colorless crystalline substance prepared by the reaction of carbolic acid with bromine."]
["perturbable","Liable to be perturbed or agitated; liable to be disturbed or disquieted."]
["ordainable","Capable of being ordained; worthy to be ordained or appointed. Bp. Hall."]
["semiotic","1. Relating to signs or indications; pertaining to the language of signs, or to language generally as indicating thought. 2. (Med.)  Of or pertaining to the signs or symptoms of diseases.\n\nSame as Semeiotic."]
["atechnic","Without technical or artistic knowledge. Difficult to convey to the atechnic reader. Etching & Engr."]
["phanerogamous","Having visible flowers containing distinct stamens and pistils; -- said of plants."]
["misrule","To rule badly; to misgovern.\n\n1. The act, or the result, of misruling. 2. Disorder; confusion; tumult from insubordination. Enormous riot and misrule surveyed. Pope. Abbot, or Lord, of Misrule. See under Abbot, and Lord."]
["oryx","A genus of African antelopes which includes the gemsbok, the leucoryx, the bisa antelope (O. beisa), and the beatrix antelope (O. beatrix) of Arabia."]
["puntil","See Pontee."]
["urceole","A vessel for water for washing the hands; also, one to hold wine or water."]
["virole","A ring surrounding a bugle or hunting horn."]
["antispast","A foot of four syllables, the first and fourth short, and the second and third long."]
["antepast","A foretaste. Antepasts of joy and comforts. Jer. Taylor."]
["colorimetry","1.  The quantitative determination of the depth of color of a substance. 2.  A method of quantitative chemical analysis based upon the comparison of the depth of color of a solution with that of a standard liquid."]
["desiccant","Drying; desiccative. -- n.  (Med.) A medicine or application for drying up a sore. Wiseman."]
["epicoracoid","A ventral cartilaginous or bony element of the coracoid in the shoulder girdle of some vertebrates."]
["wrongdoer","1. One who injures another, or who does wrong. 2. (Law)  One who commits a tort or trespass; a trespasser; a tort feasor. Ayliffe."]
["alchemistic","Relating to or practicing alchemy. Metaphysical and alchemistical legislators. Burke."]
["sinque","See Cinque. [Obs.] Beau & Fl."]
["seventieth","1. Next in order after the sixty-ninth; as, a man in the seventieth year of his age. 2. Constituting or being one of seventy equal parts.\n\n1. One next in order after the sixty-ninth. 2. The quotient of a unit divided by seventy; one of seventy equal parts or fractions."]
["housebreaker","One who is guilty of the crime of housebreaking."]
["dispirit","1. To deprive of cheerful spirits; to depress the spirits of; to dishearten; to discourage. Not dispirited with my afflictions. Dryden. He has dispirited himself by a debauch. Collier. 2. To distill or infuse the spirit of. [Obs. or R.] This makes a man master of his learning, and dispirits the book into the scholar. Fuller. Syn. -- To dishearten; discourage; deject; damp; depress; cast down; intimidate; daunt; cow."]
["outcrafty","To exceed in cunning. [R.] Shak."]
["coy","1. Quiet; still. [Obs.] Chaucer. 2. Shrinking from approach or familiarity; reserved; bashful; shy; modest; -- usually applied to women, sometimes with an implication of coquetry. Coy, and difficult to win. Cowper. Coy and furtive graces. W. Irving. Nor the coy maid, half willings to be pressed, Shall kiss the cup, to pass it to the rest. Goldsmith. 3. Soft; gentle; hesitating. Enforced hate, Instead of love's coy touch, shall rudely tear thee. Shak. Syn. -- Shy; shriking; reserved; modest; bashful; backward; distant.\n\n1. To allure; to entice; to decoy. [Obs.] A wiser generation, who have the art to coy the fonder sort into their nets. Bp. Rainbow. 2. To caress with the hand; to stroke. Come sit thee down upon this flowery bed, While I thy amiable cheeks do coy. Shak.\n\n1. To behave with reserve or coyness; to shrink from approach or familiarity. [Obs.] Thus to coy it, With one who knows you too! Rowe. 2. To make difficulty; to be unwilling. [Obs.] If he coyed To hear Cominius speak, I 'll keep at home. Shak."]
["assassinate","1. To kill by surprise or secret assault; to murder by treacherous violence. Help, neighbors, my house is broken open by force, and I am ravished, and like to be assassinated. Dryden. 2. To assail with murderous intent; hence, by extended meaning, to maltreat exceedingly. [Archaic] Your rhymes assassinate our fame. Dryden. Such usage as your honorable lords Afford me, assassinated and betrayed. Milton. Syn. -- To kill; murder; slay. See Kill.\n\n1. An assassination, murder, or murderous assault. [Obs.] If I had made an assassinate upon your father. B. Jonson. 2. An assassin. [Obs.] Dryden."]
["desmobacteria","See Microbacteria."]
["fer-de-lance","A large, venomous serpent (Trigonocephalus lanceolatus) of Brazil and the West Indies. It is allied to the rattlesnake, but has no rattle."]
["aerenchyma","A secondary respiratory tissue or modified periderm, found in many aquatic plants and distinguished by the large intercellular spaces."]
["phryganeides","A tribe of neuropterous insects which includes the caddice flies; -- called also Trichoptera. See Trichoptera. [Written also Phryganides.]"]
["gaytre","The dogwood tree. [Obs.] Chaucer.\n\nThe dogwood tree. [Obs.] Chaucer."]
["oversay","To say over; to repeat. Ford."]
["sheriffalty","The office or jurisdiction of sheriff. See Shrievalty."]
["isodynamous","Of equal force or size."]
["doldrums","A part of the ocean near the equator, abounding in calms, squalls, and light, baffling winds, which sometimes prevent all progress for weeks; -- so called by sailors. To be in the doldrums, to be in a state of listlessness ennui, or tedium."]
["asprawl","Sprawling."]
["anglo-saxon","1. A Saxon of Britain, that is, an English Saxon, or one the Saxons who settled in England, as distinguished from a continental (or \"Old\") Saxon. 2. pl.  The Teutonic people (Angles, Saxons, Jutes) of England, or the English people, collectively, before the Norman Conquest. It is quite correct to call Æthelstan \"King of the Anglo-Saxons,\" but to call this or that subject of Æthelstan \"an Anglo-Saxon\" is simply nonsense. E. A. Freeman. 3. The language of the English people before the Conquest (sometimes called Old English). See Saxon. 4. One of the race or people who claim descent from the Saxons, Angles, or other Teutonic tribes who settled in England; a person of English descent in its broadest sense.\n\nOf or pertaining to the Anglo-Saxons or their language."]
["heuk","Variant of Huke. [Obs.]"]
["sheephook","A hook fastened to pole, by which shepherds lay hold on the legs or necks of their sheep; a shepherd's crook. Dryden."]
["flambe","Decorated by glaze splashed or irregularly spread upon the surface, or apparently applied at the top and allowed to run down the sides; -- said of pieces of Chinese porcelain."]
["jeterus","A yellowness of the parts of plants which are normally green; yellows."]
["criminatory","Relating to, or involving, crimination; accusing; as, a criminatory conscience."]
["gum","The dense tissues which invest the teeth, and cover the adjacent parts of the jaws. Gum rash (Med.), strophulus in a teething child; red gum. -- Gum stick, a smooth hard substance for children to bite upon while teething.\n\nTo deepen and enlarge the spaces between the teeth of (a worn saw). See Gummer.\n\n1. A vegetable secretion of many trees or plants that hardens when it exudes, but is soluble in water; as, gum arabic; gum tragacanth; the gum of the cherry tree. Also, with less propriety, exudations that are not soluble in water; as, gum copal and gum sandarac, which are really resins. 2. (Bot.)  See Gum tree, below. 3. A hive made of a section of a hollow gum tree; hence, any roughly made hive; also, a vessel or bin made of a hollow log. [Southern U. S.] 4. A rubber overshoe. [Local, U. S.] Black gum, Blue gum, British gum, etc. See under Black, Blue, etc. -- Gum Acaroidea, the resinous gum of the Australian grass tree (Xanlhorrhoea). -- Gum animal (Zoöl.), the galago of West Africa; -- so called because it feeds on gums. See Galago. -- Gum animi or animé. See Animé. -- Gum arabic, a gum yielded mostly by several species of Acacia (chiefly A. vera and A. Arabica) growing in Africa and Southern Asia; -- called also gum acacia. East Indian gum arabic comes from a tree of the Orange family which bears the elephant apple. -- Gum butea, a gum yielded by the Indian plants Butea frondosa and B. superba, and used locally in tanning and in precipitating indigo. -- Gum cistus, a plant of the genus Cistus (Cistus ladaniferus), a species of rock rose.-- Gum dragon. See Tragacanth. -- Gum elastic, Elastic gum. See Caoutchouc. -- Gum elemi. See Elemi. -- Gum juniper. See Sandarac. -- Gum kino. See under Kino. -- Gum lac. See Lac. -- Gum Ladanum, a fragrant gum yielded by several Oriental species of Cistus or rock rose. -- Gum passages, sap receptacles extending through the parenchyma of certain plants (Amygdalaceæ, Cactaceæ, etc.), and affording passage for gum. -- Gum pot, a varnish maker's utensil for melting gum and mixing other ingredients. -- Gum resin, the milky juice of a plant solidified by exposure to air; one of certain inspissated saps, mixtures of, or having properties of, gum and resin; a resin containing more or less mucilaginous and gummy matter. -- Gum sandarac. See Sandarac. -- Gum Senegal, a gum similar to gum arabic, yielded by trees (Acacia Verek and A. Adansoniä) growing in the Senegal country, West Africa. -- Gum tragacanth. See Tragacanth. -- Gum tree, the name given to several trees in America and Australia: (a) The black gum (Nyssa multiflora), one of the largest trees of the Southern States, bearing a small blue fruit, the favorite food of the opossum. Most of the large trees become hollow. (b) A tree of the genus Eucalyptus. See Eucalpytus. (c) The sweet gum tree of the United States (Liquidambar styraciflua), a large and beautiful tree with pointedly lobed leaves and woody burlike fruit. It exudes an aromatic terebinthine juice. -- Gum water, a solution of gum, esp. of gum arabic, in water. -- Gum wood, the wood of any gum tree, esp. the wood of the Eucalyptus piperita, of New South Wales.\n\nTo smear with gum; to close with gum; to unite or stiffen by gum or a gumlike substance; to make sticky with a gumlike substance. He frets likke a gummed velvet.Shak.\n\nTo exude or from gum; to become gummy."]
["cicuta","a genus of poisonous umbelliferous plants, of which the water hemlock or cowbane is best known. Note: The name cicuta is sometimes erroneously applied to Conium maculatum, or officinal hemlock."]
["awning","1. A rooflike cover, usually of canvas, extended over or before any place as a shelter from the sun, rain, or wind. 2. (Naut.) That part of the poop deck which is continued forward beyond the bulkhead of the cabin."]
["scirrhoid","Resembling scirrhus. Dungliston."]
["steeler","One who points, edges, or covers with steel.\n\nSame as Stealer."]
["surf","The swell of the sea which breaks upon the shore, esp. upon a sloping beach. Surf bird (Zoöl.), a ploverlike bird of the genus Aphriza, allied to the turnstone. -- Surf clam (Zoöl.), a large clam living on the open coast, especially Mactra, or Spisula, solidissima. See Mactra. -- Surf duck (Zoöl.), any one of several species of sea ducks of the genus Oidemia, especially O. percpicillata; -- called also surf scoter. See the Note under Scoter. -- Surf fish (Zoöl.), any one of numerous species of California embiotocoid fishes. See Embiotocoid. -- Surf smelt. (Zoöl.) See Smelt. -- Surf whiting. (Zoöl.) See under Whiting.\n\nThe bottom of a drain. [Prov. Eng.]"]
["microanalysis","Analysis of the structure of materials from careful observation of photomicrographs."]
["lech","To lick. [Obs.]"]
["unsettledness","The quality or state of being unsettled."]
["hamulate","Furnished with a small hook; hook-shaped. Gray."]
["unwilling","Not willing; loath; disinclined; reluctant; as, an unwilling servant. And drop at last, but in unwilling ears, This saving counsel, \"Keep your piece nine years.\" Pope. -- Un*will\"ing*ly, adv. -- Un*will\"ing*ness, n."]
["snout","1. The long, projecting nose of a beast, as of swine. 2. The nose of a man; -- in contempt. Hudibras. 3. The nozzle of a pipe, hose, etc. 4. (Zoöl.) (a) The anterior prolongation of the head of a gastropod; -- called also rostrum. (b) The anterior prolongation of the head of weevils and allied beetles. Snout beetle (Zoöl.), any one of many species of beetles having an elongated snout and belonging to the tribe Rhynchophora; a weevil. -- Snout moth (Zoöl.), any pyralid moth. See Pyralid.\n\nTo furnish with a nozzle or point."]
["hobanob","Same as Hobnob. Tennyson."]
["antipope","One who is elected, or claims to be, pope in opposition to the pope canonically chosen; esp. applied to those popes who resided at Avignon during the Great Schism."]
["interferometer","An instrument for measuring small movements, distances, or displacements by means of the interference of two beams of light; -- called also refractometer."]
["irrotational","Not rotatory; passing from one point to another by a movement other than rotation; -- said of the movement of parts of a liquid or yielding mass. Sir W. Thomson."]
["valerin","A salt of valeric acid with glycerin, occurring in butter, dolphin oil., and forming an forming an oily liquid with a slightly unpleasant odor."]
["sodalite","A mineral of a white to blue or gray color, occuring commonly in dodecahedrons, also massive. It is a silicate of alumina and soda with some chlorine."]
["cross-examine","To examine or question, as a witness who has been called and examined by the opposite party. \"The opportunity to cross-examine the witnesses.\" Kent."]
["pricklouse","A tailor; -- so called in contempt. [Old slang] L'Estrange."]
["spout","1. To throw out forcibly and abudantly, as liquids through an office or a pipe; to eject in a jet; as, an elephant spouts water from his trunk. Who kept Jonas in the fish's maw Till he was spouted up at Ninivee Chaucer. Next on his belly floats the mighty whale . . . He spouts the tide. Creech. 2. To utter magniloquently; to recite in an oratorical or pompous manner. Pray, spout some French, son. Beau. & Fl. 3. To pawn; to pledge; as, spout a watch. [Cant]\n\n1. To issue with with violence, or in a jet, as a liquid through a narrow orifice, or from a spout; as, water spouts from a hole; blood spouts from an artery. All the glittering hill Is bright with spouting rills. Thomson. 2. To eject water or liquid in a jet. 3. To utter a speech, especially in a pompous manner.\n\n1. That through which anything spouts; a discharging lip, pipe, or orifice; a tube, pipe, or conductor of any kind through which a liquid is poured, or by which it is conveyed in a stream from one place to another; as, the spout of a teapot; a spout for conducting water from the roof of a building. Addison. \"A conduit with three issuing spouts.\" Shak. In whales . . . an ejection thereof [water] is contrived by a fistula, or spout, at the head. Sir T. Browne. From silver spouts the grateful liquors glide. Pope. 2. A trough for conducting grain, flour, etc., into a receptacle. 3. A discharge or jet of water or other liquid, esp. when rising in a column; also, a waterspout. To put, shove, or pop, up the spout, to pawn or pledge at a pawnbroker's; -- in allusion to the spout up which the pawnbroker sent the ticketed articles. [Cant]"]
["discover","1. To uncover. [Obs.] Whether any man hath pulled down or discovered any church. Abp. Grindal. 2. To disclose; to lay open to view; to make visible; to reveal; to make known; to show (what has been secret, unseen, or unknown). Go, draw aside the curtains, and discover The several caskets to this noble prince. Shak. Prosperity doth best discover vice; but adversity doth best discover virtue. Bacon. We will discover ourselves unto them. 1 Sam. xiv. 8. Discover not a secret to another. Prov. xxv. 9. 3. To obtain for the first time sight or knowledge of, as of a thing existing already, but not perceived or known; to find; to ascertain; to espy; to detect. Some to discover islands far away. Shak. 4. To manifest without design; to show. The youth discovered a taste for sculpture. C. J. Smith. 5. To explore; to examine. [Obs.] Syn. -- To disclose; bring out; exhibit; show; manifest; reveal; communicate; impart; tell; espy; find; out; detect. -- To Discover, Invent. We discover what existed before, but remained unknown; we invent by forming combinations which are either entirely new, or which attain their end by means unknown before. Columbus discovered America; Newton discovered the law of gravitation; Whitney invented the cotton gin; Galileo invented the telescope.\n\nTo discover or show one's self. [Obs.] This done, they discover. Decke Nor was this the first time that they discovered to be followers of this world. Milton."]
["periproct","The region surrounding the anus, particularly of echinoderms."]
["rix-dollar","A name given to several different silver coins of Denmark, Holland, Sweden,, NOrway, etc., varying in value from about 30 cents to $1.10; also, a British coin worth about 36 cents, used in Ceylon and at the Cape of Good Hope. See Rigsdaler, Riksdaler, and Rixdaler. Note: Most of these pieces are now no longer coined, but some remain in circulation."]
["overname","To name over or in a series; to recount. [Obs.] Shak."]
["rubricity","Redness. [R.]"]
["catharine wheel","See catherine wheel."]
["sauciness","The quality or state of being saucy; that which is saucy; impertinent boldness; contempt of superiors; impudence. Your sauciness will jest upon my love. Shak. Syn. -- Impudence; impertinence; rudeness; insolence. see Impudence."]
["thunderburst","A burst of thunder."]
["imperceivable","Imperceptible. [R.] South. -- Im`per*ceiv\"a*ble*ness, n. Sharp."]
["maize","A large species of American grass of the genus Zea (Z. Mays), widely cultivated as a forage and food plant; Indian corn. Also, its seed, growing on cobs, and used as food for men animals. Maize eater (Zoöl.), a South American bird of the genus Pseudoleistes, allied to the troupials. -- Maize yellow, a delicate pale yellow."]
["aforegoing","Going before; foregoing."]
["heyday","An expression of frolic and exultation, and sometimes of wonder. B. Jonson.\n\nThe time of triumph and exultation; hence, joy, high spirits, frolicsomeness; wildness. The heyday in the blood is tame. Shak. In the heyday of their victories. J. H. Newman."]
["transience","The quality of being transient; transientness."]
["umbril","A umbrere. [Obs.]"]
["ozonation","The act of treating with ozone; also, the act of converting into, or producing, ozone; ozonization."]
["sea wormwood","A European species of wormwood (Artemisia maritima) growing by the sea."]
["perceivable","Capable of being perceived; perceptible. -- Per*ceiv\"a*bly, adv."]
["honeymoon","The first month after marriage. Addison."]
["microhm","The millionth part of an ohm."]
["incurability","The state of being uncurable; irremediableness. Harvey."]
["whitster","A whitener; a bleacher; a whitester. [Obs.] The whitsters in Datchet mead. Shak."]
["supererogant","Supererogatory. [Obs.]"]
["highth","Variant of Height. [Obs.]"]
["illuministic","Of or pertaining to illuminism, or the Illuminati."]
["biarticulate","Having, or consisting of, tow joints."]
["supervacaneous","Serving no purpose; superfluous; needless. [Obs.] Howell."]
["polygynia","A Linnæan order of plants having many styles."]
["reestablish","To establish anew; to fix or confirm again; to restore; as, to reëstablish a covenant; to reëstablish health."]
["decumbiture","1. Confinement to a sick bed, or time of taking to one's bed from sickness. Boyle. 2. (Astrol.)  Aspect of the heavens at the time of taking to one's sick bed, by which the prognostics of recovery or death were made."]
["adjustive","Tending to adjust. [R.]"]
["saccholactate","A salt of saccholactactic acid; -- formerly called also saccholate. [Obs.] See Mucate."]
["thalamiflorous","Bearing the stamens directly on the receptacle; -- said of a subclass of polypetalous dicotyledonous plants in the system of De Candolle."]
["commercial","Of or pertaining to commerce; carrying on or occupied with commerce or trade; mercantile; as, commercial advantages; commercial relations. \"Princely commercial houses.\" Macaulay. Commercial college, a school for giving instruction in commercial knowledge and business. -- Commercial law. See under Law. -- Commercial note paper, a small size of writing paper, usually about 5 by 7½ or 8 inches. -- Commercial paper, negotiable paper given in due course of business. It includes bills of exchange, promissory notes, bank cheks, etc. -- Commercial traveler, an agent of a wholesale house who travels from town to town to solicit orders. Syn. -- See Mercantile."]
["disorganizer","One who disorganizes or causes disorder and confusion."]
["stenographist","A stenographer."]
["apoplectical","Relating to apoplexy; affected with, inclined to, or symptomatic of, apoplexy; as, an apoplectic person, medicine, habit or temperament, symptom, fit, or stroke."]
["clingstone","Having the flesh attached closely to the stone, as in some kinds of peaches. -- n.  A fruit, as a peach, whose flesh adheres to the stone."]
["aplacental","Belonging to the Aplacentata; without placenta."]
["harmonium","A musical instrument, resembling a small organ and especially designed for church music, in which the tones are produced by forcing air by means of a bellows so as to cause the vibration of free metallic reeds. It is now made with one or two keyboards, and has pedals and stops."]
["disbursement","1. The act of disbursing or paying out. The disbursement of the public moneys. U. S. Statutes. 2. That which is disbursed or paid out; as, the annual disbursements exceed the income."]
["arak","Same as Arrack."]
["breakbone fever","See Dengue."]
["pulpitish","Of or pertaining to the pulpit; like preaching. Chalmers."]
